id,del,enum,sym,nx_desc,last_mod_dt,last_mod_by,z_nimsoft_code
12,0,100,תא 99,תא 99,,,
14,0,14,מפגע בטיחות,מפגע בטיחות,,,
15,0,15,גבוהה,פגיעה עסקית חמורה,1467019342,1E9AEF31F67EBE48BD5DAC6E8D577155,
16,0,16,לקוח בסניף,לקוח בסניף,,,
55,0,55,תא 55,תא 55,,,
95,1,95,תא 95,תא 95,,,
800,0,0,אין השבתה,אין השבתה,1229604453,A2EBBEDB98E13540BD6ED2E61911C48B,
801,0,1,השבתת עמדה,השבתת עמדה,1229604524,A2EBBEDB98E13540BD6ED2E61911C48B,
802,0,2,השבתת סניף,השבתת סניף,1229604507,A2EBBEDB98E13540BD6ED2E61911C48B,
803,1,3,השבתת עד 3 ס,MEDIUM-HIGH Severity,,,
804,1,4,בעיה רוחבית,בעיה רוחבית,1369127144,A872B761BA27374FA5BBA88127A81375,
400002,0,5,השבתת יחידה,השבתת יחידה,1360239163,A2EBBEDB98E13540BD6ED2E61911C48B,
400003,1,6,מערכת מטה,השבתה מערכת מטה,1229604574,A2EBBEDB98E13540BD6ED2E61911C48B,
400004,0,7,מערכת קריטית,השבתה מערכת קריטית,1229604557,A2EBBEDB98E13540BD6ED2E61911C48B,
400005,0,8,השבתת קלע,השבתת קלע,1273666792,A872B761BA27374FA5BBA88127A81375,
400006,0,9,קריטית,עצירת עסקה,1467019320,1E9AEF31F67EBE48BD5DAC6E8D577155,
400007,0,10,אירוע משבית,אירוע משבית,,,
400008,1,11,מסחר,מסחר,,,
400009,0,17,בינונית,בינונית,,,
400010,0,18,נמוכה,נמוכה,,,
400011,0,19,ללא מייל,ללא מייל,1509877280,1E9AEF31F67EBE48BD5DAC6E8D577155,
